candidate,frequency_hz,impedance_magnitude_pa_s_m3,horizontal_6db_half_angle_deg,vertical_6db_half_angle_deg,gmres_iterations,solve_seconds,relative_residual
3,1077.217345015942,763701.8914021663,42.29307328509824,42.29293462113147,52,13.417653625,3.8519968073660164e-10
3,1117.3168634582971,786459.135925698,40.99659435591019,40.99626480841905,54,14.024728958,6.457747965508902e-10
3,1158.909090300446,812558.9528861893,39.81163899687729,39.81111477356814,55,14.507147625,6.478134280999166e-10
3,1202.0495917549858,840326.1267009627,38.755949538612214,38.75523209160249,56,14.72045275,8.062210586798736e-10
3,1246.796002492079,867141.267168645,37.85539266171189,37.85449687258953,57,14.736259167,7.572693422634947e-10
3,1293.208102637984,890153.036813472,37.13921371577432,37.13816437835895,57,14.373282958,6.791882999686082e-10
3,1341.3478976398621,907512.547547048,36.628624203198356,36.6275312171657,57,14.751587125,5.123299853795704e-10
3,1391.2797011035627,919441.4359804719,36.317653362063744,36.31665872453965,56,14.621491667,8.676405913162578e-10
3,1443.0702207150446,928003.2778671162,36.16253811606968,36.16190506948501,59,15.516467958,7.960906526998775e-10
3,1496.788647360245,935533.1829895946,36.08166368497513,36.081743459233394,60,15.303787416,1.047195701567927e-09
3,1552.5067475624298,943243.9314108919,35.98486346813477,35.98600217832688,61,15.263106084,5.252700135120936e-10
3,1610.2989593605412,951225.4590973213,35.823879031462255,35.8264329773566,55,14.2365795,4.310289874254302e-09
3,1670.242491756622,959382.1905978975,35.60276717375071,35.60703281118622,62,15.831561083,3.9154521010593973e-10
3,1732.4174278651828,967995.3943628476,35.36765913971584,35.373834679527675,63,15.945607375,4.0190224787080383e-10
3,1796.9068319023127,977164.5671430362,35.1663343011565,35.17441818773006,55,14.438046959,2.333262259026162e-08
3,1863.7968601574687,985673.9868767194,35.01525010554389,35.02487975734948,64,16.429073125,4.553219800670612e-10
3,1933.1768760962038,990820.8388932596,34.89052796099603,34.90072673801474,65,16.713977792,4.238691961380913e-10
3,2005.1395697476034,990233.723338262,34.74281366697176,34.75268368300145,63,16.003405333,9.575831142121442e-10
3,2079.7810815359235,984430.1403585003,34.54417963873435,34.55284094154309,68,17.155254458,7.247142449483415e-10
3,2157.2011307218904,977237.0214078553,34.323565343600016,34.330856933875204,69,17.867136042,6.779072830757051e-10
3,2237.5031486252237,973004.4136040184,34.18308635150233,34.1897426153842,73,18.640227875,3.84068056324242e-10
