frequency_hz,fem_resistance_pa_s_m3,fem_reactance_pa_s_m3,fem_magnitude_pa_s_m3,webster_resistance_pa_s_m3,webster_reactance_pa_s_m3,webster_magnitude_pa_s_m3,fem_radiated_power_w,webster_radiated_power_w,gmres_iterations,solve_seconds,relative_residual
1292.6174197810954,1013682.4417608023,565643.6227170086,1160820.7444108517,849934.9578408631,52430.55958116148,851550.5834288081,506841.2208803929,424967.47892042494,57,19.124349625,1.7828528417612888e-10
1330.362529899404,1045020.6435872716,514145.581038125,1164651.803769945,744377.7037499028,120928.39830386979,754136.4885458847,522510.32179366343,372188.85187495186,59,19.580649834,3.314677898359328e-10
1369.2098171321804,1062914.3524056291,456169.85935702635,1156666.7027003444,689971.8530164539,205248.8565978449,719852.937126523,531457.1762029422,344985.9265082332,59,19.408007958,7.45140443615425e-10
1409.1914656322274,1065504.7140829195,398877.31261462404,1137718.5092331006,677110.2832778485,290220.6872399472,736686.0817353858,532752.3570415719,338555.14163892815,60,20.124724791,7.815634334524339e-10
1450.3405993465763,1055471.1216991877,349042.8218039,1111687.9868892038,699116.741884607,367312.6677357748,789735.9145071977,527735.5608496994,349558.37094230804,63,21.24088475,2.9286035749532483e-10
1492.69130945898,1038468.2777418593,310408.1329762043,1083867.8761241687,751784.1213154338,429344.5342083625,865745.9755128028,519234.13887098787,375892.0606577045,65,22.109966125,2.2678784829910336e-10
1536.2786826337226,1020564.2305009487,283019.55671512894,1059080.4587288077,831463.8221744586,467820.27255370363,954037.6800720092,510282.1152504858,415731.91108723666,67,22.837625416,1.7837076038297462e-10
1581.1388300841895,1006368.5786372441,264143.56514867704,1040456.4090233671,932383.914942814,471455.7614572826,1044801.5600368114,503184.2893186147,466191.9574714112,68,22.536305,1.7152796438597378e-10
1627.3089174902298,998248.1470918627,249597.4454893749,1028979.2262077786,1041897.4435364171,425956.5548570482,1125606.17867592,499124.07354587776,520948.7217682015,69,22.997867,2.1983780477049148e-10
1674.8271957891377,996174.2501787686,234900.47509947518,1023494.6848524378,1132532.8736761292,319470.6505626994,1176729.4534123235,498087.1250888887,566266.4368380812,64,21.478481875,1.2754347059778408e-09
1723.733032865747,997829.7578661118,216317.14911308515,1021007.9993239798,1159904.6960898838,162076.76493598113,1171173.677019544,498914.87893312203,579952.3480449511,69,23.00139875,1.4637420348339878e-10
1774.0669461678763,999078.932423112,192003.24953336528,1017361.2736108432,1091267.042888186,6664.751552066882,1091287.3946890326,499539.46621152485,545633.5214440832,71,23.575874125,1.3812660266915924e-10
